title,year,director,image,excerpt
Roundhay Garden Scene,1888,Louis Le Prince,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Roundhay_Garden_Scene.jpg/640px-Roundhay_Garden_Scene.jpg,The first motion picture sequence. Only 2.11 seconds long but demonstrated the feasibility of capturing moving images.
Lumière brothers' first public screening,1895,Auguste & Louis Lumière,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Lumiere_film_poster.jpg/800px-Lumiere_film_poster.jpg,First public cinema screening. The birth of cinema as a commercial entertainment medium.
L'Arrivée d'un train en gare de La Ciotat,1895,Auguste & Louis Lumière,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Lumiere_film_poster.jpg/800px-Lumiere_film_poster.jpg,Iconic one-minute film where audiences reportedly fled believing a train was coming at them.
A Trip to the Moon,1902,Georges Méliès,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Voyage_to_the_Moon_Still.jpg/800px-Voyage_to_the_Moon_Still.jpg,14-minute science fiction with elaborate special effects. Established special effects as cinematic art form.
The Great Train Robbery,1903,Edwin S. Porter,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/The_Great_Train_Robbery_1903.jpg/800px-The_Great_Train_Robbery_1903.jpg,11-minute narrative film with innovative editing and cross-cutting. Pioneered cinema storytelling conventions.
Rescued by Rover,1905,Cecil Hepworth,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Rescued_by_Rover_1905.jpg/800px-Rescued_by_Rover_1905.jpg,Early narrative film with sophisticated editing and parallel action. Commercial success demonstrated audience appetite for stories.
Intolerance,1916,D.W. Griffith,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Intolerance_1916.jpg/800px-Intolerance_1916.jpg,Four-narrative epic with massive sets and complex editing. Demonstrated cinema's ambitious potential and commercial risks.
Birth of a Nation,1915,D.W. Griffith,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Birth_of_a_Nation_poster.jpg/800px-Birth_of_a_Nation_poster.jpg,Feature-length film that pioneered advanced cinematography despite deeply racist content. Established feature films as dominant format.
The Cabinet of Dr. Caligari,1920,Robert Wiene,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Cabinet_of_Dr._Caligari_poster.jpg/800px-Cabinet_of_Dr._Caligari_poster.jpg,German Expressionist masterpiece with distorted sets and dramatic shadows. Established artistic movement in cinema.
Nosferatu,1922,F.W. Murnau,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Nosferatu_1922_poster.jpg/800px-Nosferatu_1922_poster.jpg,Vampire horror with atmospheric cinematography and realistic makeup. Pioneered horror film conventions.
Battleship Potemkin,1925,Sergei Eisenstein,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Battleship_Potemkin_Eisenstein_1925.jpg/800px-Battleship_Potemkin_Eisenstein_1925.jpg,Revolutionary Soviet film introducing montage theory. Odessa Steps sequence remains most influential in cinema history.
Metropolis,1927,Fritz Lang,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Metropolis_Still.jpg/800px-Metropolis_Still.jpg,German science fiction epic with groundbreaking effects and miniatures. Landmark early science fiction cinema.
The Jazz Singer,1927,Alan Crosland,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Jazz_singer_poster.jpg/800px-Jazz_singer_poster.jpg,First major talkie with synchronized sound. Triggered rapid transition from silent to sound cinema.
Steamboat Willie,1928,Walt Disney,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Steamboat_Willie.jpg/800px-Steamboat_Willie.jpg,First cartoon with synchronized sound introducing Mickey Mouse. Proved animation commercially viable and artistically sophisticated.
